Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat
Big Barda,good,High,Excessive,Low,Excellent,Strong,Excellent
Big Daddy,good,Medium,Low,Low,Medium,Low,High
Big Man,bad,Excellent,Low,Low,Low,Low,Excellent
Bill Harken,good,High,Medium,Medium,High,Low,Strong
Bird-Brain,good,Low,Low,Medium,Low,Low,Strong
Bishop,good,High,Low,Low,Excellent,Excellent,High
Bizarro,neutral,Excellent,Excessive,Excessive,Excessive,Excessive,Excellent
Black Adam,bad,Excellent,Excessive,Excessive,Excessive,Excellent,Strong
Black Bolt,good,Excellent,High,Excessive,Excellent,Excessive,Strong
Black Cat,good,Excellent,Low,Medium,Low,Low,Excellent
Black Knight III,good,High,Low,Very Low,Excellent,Strong,Excellent
Black Lightning,good,Strong,Low,Strong,Low,Excellent,Excellent
Black Mamba,bad,Excellent,Low,Medium,Strong,Excellent,High
Black Panther,good,Excellent,Low,Medium,High,Strong,Excessive
Black Widow,good,Excellent,Low,Low,Medium,Medium,Excessive
Blackout,bad,High,Medium,Strong,Excellent,Medium,High
Blackwing,bad,Medium,Low,Medium,Medium,Low,Strong
Blade,good,High,Low,Medium,Strong,Medium,Excessive
Bling!,good,High,Low,Low,Excessive,Strong,Low
Blink,good,Strong,Very Low,Low,Low,Strong,High
Blizzard II,bad,Medium,Low,Low,Strong,Strong,Strong
Blob,bad,Low,Excellent,Low,Excessive,Low,Excellent
Bloodaxe,bad,High,Excellent,Medium,Excellent,Excellent,Excellent
Bloodhawk,good,Strong,Low,Strong,Excellent,High,High
Blue Beetle III,good,Strong,Medium,Strong,Excellent,Excessive,Medium
Boom Boom,good,Medium,Low,Low,Strong,Strong,High
Booster Gold,good,Strong,Excellent,Strong,Strong,Excellent,Strong
Box IV,good,Strong,Excellent,Low,Low,Low,Strong
Brainiac,bad,Excessive,Low,High,Excessive,High,Excellent
Brainiac 5,good,Excessive,Low,Low,Low,High,Medium
Bullseye,bad,Strong,Low,Low,Excellent,Low,Excellent
Bumblebee,good,High,Low,Low,Low,Strong,Medium
Bushido,good,Medium,Low,Very Low,Low,Low,Excellent
Cable,good,Excellent,Strong,Low,Strong,Excessive,Excellent
Callisto,bad,High,Strong,Low,Strong,Strong,Excellent
Cameron Hicks,good,Strong,Low,Low,Low,Strong,Excellent
Cannonball,good,Strong,Low,High,Excessive,Excellent,Strong
Captain America,good,High,Low,Medium,Strong,Strong,Excessive
Captain Britain,good,Excellent,Excellent,Strong,High,Medium,Excellent
Captain Marvel,good,Excessive,Excessive,High,Excessive,High,Strong
Captain Marvel II,good,Excellent,Excellent,Low,Excessive,Medium,Strong
Carnage,bad,High,High,Excellent,Excellent,Excellent,Excessive
Catwoman,good,High,Low,Medium,Low,Low,Excellent
Century,good,Excellent,Excellent,Strong,High,Excellent,Excessive
Chamber,good,Strong,Low,Low,Excellent,Strong,High
Chameleon,bad,Excellent,Low,Low,Low,Low,Low
Changeling,bad,High,Low,Low,Strong,High,High
Chuck Norris,good,Strong,Excellent,Strong,Strong,Strong,Excessive
Claire Bennet,good,Medium,Very Low,Low,Excessive,Excellent,Low
Cloak,good,High,Low,Strong,High,Excellent,Strong
Colossus,good,High,Excellent,Medium,Excessive,Strong,Excellent
Crystal,good,High,Low,Low,Low,Strong,Strong
Cyborg,good,Excellent,Strong,Strong,Excellent,Excellent,High
Cyborg Superman,bad,Excellent,Excessive,Excessive,Excessive,Excessive,Excellent
Cyclops,good,Excellent,Low,Low,Strong,Excellent,Excellent
Dagger,good,High,Low,Medium,Strong,Strong,Excellent
Daphne Powell,good,Medium,Low,Very Low,Low,Strong,Low
Daredevil,good,Excellent,Low,Low,Low,Strong,Excessive
Darkhawk,good,Strong,Medium,Medium,Excellent,Excellent,High
Darkman,good,Excellent,Low,Low,Excellent,Low,Low
Darkseid,bad,Excellent,Excessive,Low,Excessive,Excessive,Excessive
Darkstar,good,Medium,Very Low,Medium,Strong,Strong,High
Dash,good,Very Low,Very Low,Excellent,Strong,Low,Low
Dazzler,good,High,Low,Medium,Strong,High,Strong
Deadman,good,Strong,Low,Medium,Excessive,Excessive,Strong
Deadpool,neutral,Strong,Low,Medium,Excessive,Excessive,Excessive
Deadshot,bad,Strong,Low,Low,Low,Strong,Excellent
Deathlok,good,High,Medium,Medium,Excellent,Strong,High
Deathstroke,neutral,Excellent,Medium,Medium,Excessive,Medium,Excessive
Demogoblin,bad,Strong,Strong,Strong,Medium,Strong,High
Destroyer,bad,Strong,Excessive,Strong,Excessive,Excessive,Excellent
DL Hawkins,good,Strong,Low,Low,Strong,Strong,Strong
Doc Samson,good,Excellent,Excellent,Medium,Excellent,Medium,Excellent
Doctor Doom,bad,Excessive,Medium,Low,Excessive,Excessive,Excellent
Doctor Fate,good,Excellent,Low,Low,Excellent,Excessive,Strong
Doctor Strange,good,Excessive,Low,Low,Excellent,Excessive,High
Domino,good,High,Low,Low,Low,Strong,Excellent
Doomsday,bad,Excellent,Excellent,High,Excessive,Excessive,Excessive
Doppelganger,bad,Very Low,High,High,Excessive,High,Excellent
Dormammu,bad,Excellent,Excessive,Excellent,Excessive,Excessive,Excellent
Dr Manhattan,good,Excellent,Medium,Strong,Excessive,Excessive,Strong
Ego,bad,Excellent,Excellent,Excellent,Excessive,Excellent,Low
Elastigirl,good,Medium,Medium,Low,Excessive,Low,Low
Electro,bad,High,Low,Strong,Strong,High,High
Elektra,good,High,Low,Medium,Low,Strong,Excessive
Elle Bishop,bad,Strong,Very Low,Low,Strong,High,Strong
Elongated Man,good,Medium,Low,Low,Excessive,Strong,Strong
Emma Frost,good,Excellent,High,Medium,Excessive,Excellent,Strong
Evilhawk,bad,Strong,Medium,Medium,Excellent,Excellent,High
Exodus,bad,High,Excellent,Low,Low,Excessive,Excellent
Falcon,good,Medium,Low,Strong,Low,Low,High
Fallen One II,bad,Excellent,Excellent,Excellent,Excessive,Excessive,Strong
Faora,bad,Excellent,Excessive,Excellent,Excessive,Excellent,Excessive
Feral,good,Medium,Low,Strong,Low,Low,Excellent
Fin Fang Foom,good,Strong,Excellent,Low,Excessive,High,Excellent
Firebird,good,Medium,Very Low,Strong,Low,Excessive,Strong
Firelord,good,Medium,High,Excellent,Excessive,Strong,Low
Firestar,good,Strong,Very Low,Strong,Strong,Excellent,Medium
Firestorm,good,Strong,Strong,Strong,Strong,Excessive,Strong
Flash I,good,High,Low,Excessive,Strong,Strong,Medium
Flash II,good,High,Low,Excessive,High,High,Medium
Flash III,good,High,Low,Excessive,High,Excellent,Medium
Flash IV,good,High,Low,Excessive,Medium,Strong,Strong
Forge,good,High,Low,Low,Low,Low,Strong
Franklin Storm,good,Medium,Low,Very Low,Very Low,Very Low,Low
Frenzy,bad,High,Strong,Medium,Excessive,Medium,Strong
Galactus,neutral,Excessive,Excessive,Excellent,Excessive,Excessive,Excellent
Gambit,good,High,Low,Low,Low,Strong,Excellent
Gary Bell,good,High,Very Low,Very Low,Low,Strong,Low
General Zod,bad,Excessive,Excessive,Excessive,Excessive,Excessive,Excessive
Ghost Rider,good,Strong,Strong,Low,Excessive,Excellent,High
Giganta,bad,Excellent,Excellent,Low,Excellent,Medium,Strong
Goblin Queen,bad,Excellent,Low,Low,Low,High,Strong
Gog,bad,Strong,Medium,Strong,Excellent,Medium,Strong
Goku,good,Strong,Excessive,Excellent,Excessive,Excessive,Excessive
Gravity,good,Strong,Medium,Medium,Strong,Excellent,Medium
Green Arrow,good,Excellent,Low,Medium,Low,Low,Excessive
Green Goblin,bad,Excellent,Strong,Medium,Strong,Medium,Low
Green Goblin II,bad,Excellent,Strong,Medium,Strong,Medium,Low
Groot,good,Excellent,Excellent,Medium,Excellent,Excessive,High
Guy Gardner,good,Medium,Excellent,Low,High,Excessive,High
Hal Jordan,good,High,Excessive,Strong,High,Excessive,Strong
Hancock,good,Strong,Excellent,High,Excessive,Excellent,Low
Harley Quinn,bad,Excellent,Low,Low,Strong,Medium,Excellent
Havok,good,High,Low,Low,High,Excellent,Strong
Hawk,good,Medium,Medium,Medium,Excessive,Medium,Strong
Hawkeye,good,Strong,Low,Low,Low,Low,Excellent
Hawkeye II,good,Strong,Very Low,Very Low,Low,Low,Strong
Hawkgirl,good,Strong,Low,Strong,Excessive,Excellent,Excellent
Hellboy,good,High,Strong,Low,Excellent,Medium,Excellent
Hellcat,good,Strong,Low,Low,Strong,Low,Excellent
Hercules,good,High,Excessive,Strong,Excellent,High,Excessive
Hit-Girl,good,Low,Very Low,Low,Low,Low,Strong
Hope Summers,good,High,Low,Low,Medium,Excellent,Excellent
Hulk,good,Excellent,Excessive,Strong,Excessive,Strong,Excellent
Human Torch,good,Strong,Low,High,Excellent,Excellent,Strong
Huntress,good,High,Low,Low,Low,Medium,Excessive
Husk,good,High,High,Medium,Excellent,Strong,High
Hydro-Man,bad,Medium,Low,Low,Excellent,High,Strong
Hyperion,good,High,Excessive,Excellent,Excessive,Strong,Excellent
Iceman,good,High,Medium,Strong,Excessive,Excessive,High
Impulse,good,Strong,Low,Excessive,High,High,High
Ink,good,Medium,Low,Low,Strong,High,Strong
Invisible Woman,good,High,Low,Low,Excellent,Excellent,Strong
Iron Fist,good,Excellent,Low,Medium,Strong,Strong,Excessive
Iron Man,good,Excessive,Excellent,Strong,Excellent,Excessive,High
Iron Monger,bad,Excellent,High,Low,Excessive,Strong,Strong
Isis,good,Excellent,Strong,Excellent,Strong,Strong,Strong
Jack of Hearts,good,High,Strong,Excessive,Medium,Excellent,Medium
Jack-jack,good,Very Low,Medium,High,Excellent,High,Very Low
Jean Grey,good,Excessive,Excellent,High,Excessive,Excessive,Excellent
Jennifer Kale,good,Excellent,Low,Medium,Strong,High,Excellent
Jim Powell,good,Medium,Medium,Low,Excellent,Low,Low
JJ Powell,good,Excellent,Low,Very Low,Low,Low,Low
John Stewart,good,Strong,Excellent,Low,High,Excessive,Strong
John Wraith,good,Excellent,Low,Medium,Low,High,Excellent
Joker,bad,Excessive,Low,Low,Strong,Low,Excessive
Jolt,good,High,Low,Low,Medium,Medium,Strong
Jubilee,good,Strong,Very Low,Low,Low,High,Excessive
Juggernaut,neutral,Strong,Excessive,Strong,Excessive,Excellent,Excellent
Junkpile,bad,Strong,Medium,Low,Excessive,Excellent,Medium
Justice,good,Strong,Low,Medium,Excellent,Strong,Medium
Kang,bad,Excessive,Strong,Strong,Excellent,Excellent,Excellent
Kevin 11,bad,Low,Very Low,Low,Low,Excessive,Strong
Kick-Ass,good,Low,Low,Low,Low,Low,Strong
Kid Flash,good,Low,Very Low,Excessive,Strong,Low,Medium
Killer Croc,bad,Low,Strong,Medium,Excellent,Medium,High
Kilowog,good,Excellent,Excessive,Strong,Strong,Excessive,Excellent
Kingpin,bad,Excellent,Low,Low,Strong,Low,Excellent
Klaw,bad,High,Medium,Medium,Excessive,High,High
Kool-Aid Man,good,Low,Low,Low,Low,Low,Low
Kraven II,bad,Strong,Medium,Low,Low,Medium,Excellent
Kraven the Hunter,bad,High,Medium,Medium,Strong,Low,Excellent
Krypto,good,Very Low,Excellent,Excessive,Excessive,Excellent,Strong
Leader,bad,Excessive,Low,Low,Low,Strong,Strong
Leech,good,Low,Very Low,Low,Low,High,Low
Lex Luthor,bad,Excessive,Low,Low,Low,Low,Low
Light Lass,good,Medium,Low,Medium,Low,High,Strong
Lightning Lad,good,Medium,Low,Low,Low,High,Strong
Lightning Lord,bad,Strong,Low,Low,Strong,High,Strong
Living Brain,bad,Excellent,Strong,Medium,Strong,Medium,Low
Lizard,bad,Medium,Strong,Low,Excellent,Strong,Strong
Lobo,bad,Excellent,Excellent,Medium,Excessive,Excessive,Excellent
Loki,bad,Excellent,Strong,Strong,Excellent,Excellent,Strong
Longshot,good,Strong,Low,Low,Low,Excellent,Excellent
Luke Cage,good,Strong,Strong,Low,Excessive,Medium,High
Luna,good,Medium,Very Low,Excellent,Low,Strong,Low
Mach-IV,bad,Excellent,Medium,High,Excellent,High,Strong
Machine Man,good,High,Medium,Medium,Excellent,Strong,High
Magneto,bad,Excellent,Excellent,Low,Excellent,Excessive,Excellent
Magog,good,Strong,Strong,Low,High,High,Excellent
Magus,bad,Excellent,Excessive,Excellent,Excessive,Excessive,Excellent
Man-Bat,neutral,Medium,Low,Strong,Excellent,Medium,Medium
Man-Thing,good,Strong,Medium,Very Low,Excessive,Excessive,Strong
Man-Wolf,good,High,Strong,Medium,Strong,Medium,Excellent
Mandarin,bad,Excessive,Low,Low,Low,Excessive,Excessive
Martian Manhunter,good,Excessive,Excessive,Excessive,Excessive,Excessive,Excellent
Marvel Girl,good,High,Excellent,Strong,Strong,Excessive,Excellent
Master Chief,good,Excellent,Excellent,Medium,Excellent,High,Excessive
Match,bad,Excellent,Excessive,Excellent,Excellent,Excessive,Excellent
Matt Parkman,good,High,Low,Low,Low,Strong,Strong
Maverick,good,High,Low,Low,Strong,High,Excellent
Maxima,bad,Excellent,Excessive,Medium,Strong,High,Excellent
Maya Herrera,good,Strong,Low,Low,Low,High,Low
Medusa,good,Excellent,Medium,Medium,Excellent,Medium,Strong
Meltdown,good,Medium,Low,Low,Strong,Strong,High
Mephisto,bad,Excellent,Excellent,Medium,Excessive,Excessive,Strong
Mera,good,Strong,High,Strong,Excellent,Strong,Excellent
Metallo,bad,Excellent,Strong,Low,Excessive,Excellent,High
Metron,good,Excellent,Low,Strong,Strong,High,Low
Micah Sanders,good,High,Very Low,Low,Low,Strong,Low
Micro Lad,good,Medium,Low,Low,Low,Strong,Medium
Mimic,good,High,High,Strong,Strong,Excellent,Strong
Misfit,good,High,Medium,Low,Excellent,High,Strong
Miss Martian,good,High,Excellent,Strong,Excessive,Excessive,Strong
Mister Fantastic,good,Excessive,Low,Low,Excellent,Medium,High
Mister Freeze,bad,Excellent,Medium,Low,Excellent,Medium,Low
Mister Mxyzptlk,bad,Excessive,Low,Low,Low,Excessive,Low
Molten Man,bad,Strong,Excellent,Low,Excellent,Strong,Strong
Monica Dawson,good,Strong,Low,Medium,Low,Strong,Excessive
Moon Knight,good,Strong,Medium,Low,Strong,Low,Excellent
Moonstone,good,Strong,High,Strong,Strong,Excellent,Excellent
Morlun,bad,High,High,Medium,Strong,Strong,Strong
Moses Magnum,bad,Excellent,Low,Low,Strong,Strong,Strong
Mr Incredible,good,Medium,Excellent,Medium,Excessive,Low,Strong
Ms Marvel,good,High,Excellent,Strong,Strong,Excellent,Excellent
Ms Marvel II,good,Medium,High,Low,Excellent,Low,Strong
Multiple Man,good,High,Low,Low,Excellent,Low,High
Mysterio I,bad,Excellent,Low,Low,Strong,Strong,Strong
Mystique,bad,Excellent,Low,Low,High,Strong,Excellent
Namora,good,Strong,Excellent,Strong,Strong,Strong,High
Namorita,good,Strong,Excellent,Strong,Excellent,Medium,Excellent
Naruto Uzumaki,good,Strong,Excellent,Medium,Excellent,Excessive,Excessive
Nick Fury,good,Excellent,Low,Low,Strong,Low,Excessive
Nightcrawler,good,Strong,Low,Strong,Low,Strong,Excellent
Nightwing,good,Excellent,Low,Medium,Low,Medium,Excessive
Niki Sanders,good,High,Strong,Medium,Low,Medium,Strong
Nina Theroux,good,High,Very Low,Very Low,Low,Strong,Low
Northstar,good,Strong,Low,Excellent,Strong,Excellent,Excellent
Nova,good,Excessive,Excellent,High,Excessive,Excessive,Excellent
Nova,good,Medium,High,Excessive,Excessive,Excessive,Low
Offspring,good,Strong,Low,Medium,Excessive,Excessive,Strong
Onslaught,bad,Excellent,Excellent,Strong,Excessive,Excessive,Excellent
Oracle (DC),good,Excellent,Low,Low,Low,Low,Excellent
Osiris,good,Excellent,Excellent,High,Excessive,High,Strong
Penguin,bad,Excellent,Low,Low,Low,Medium,Strong
Peter Petrelli,good,High,Low,Low,Low,High,Strong
Phantom Girl,good,Medium,Low,Low,Low,Strong,Strong
Phoenix,good,Excessive,Excellent,High,Excessive,Excessive,Excellent
Plastic Man,good,Strong,High,Low,Excessive,Excessive,Strong
Plastique,bad,Strong,Low,Low,Low,High,Strong
Poison Ivy,bad,High,Low,Low,Low,Excellent,Medium
Power Girl,good,Excellent,Excessive,High,Excessive,High,Excellent
Professor X,good,Excessive,Very Low,Low,Low,Excessive,Medium
Proto-Goblin,bad,High,Medium,Low,Strong,Low,Low
Punisher,good,Strong,Low,Low,Low,Low,Excessive
Pyro,bad,Medium,Low,Low,Low,Strong,Low
Question,good,Excellent,Low,Low,Medium,Low,Excellent
Quicksilver,good,High,Low,Excessive,High,Strong,Strong
Quill,good,Medium,Low,Low,Low,Low,Low
Ra's Al Ghul,bad,Excessive,Low,Medium,Strong,Low,Excessive
Rachel Pirzad,good,High,Very Low,Very Low,Low,Strong,Low
Raven,neutral,Strong,Low,Low,Excellent,High,Strong
Red Arrow,good,High,Low,Low,Low,Low,Excellent
Red Hood,neutral,Excellent,Low,Low,Low,Low,Excessive
Red Hulk,good,Strong,Excellent,Strong,Excessive,Strong,Excellent
Red Mist,bad,Low,Low,Low,Low,Low,Strong
Red Robin,good,Excellent,Low,Low,Medium,Low,Excellent
Red Skull,bad,Excellent,Low,Low,Low,Low,Excellent
Red Tornado,good,Excellent,Medium,High,High,Excessive,Strong
Rhino,bad,Low,Excellent,Strong,Excessive,Medium,Excellent
Rick Flag,bad,Excellent,Low,Low,Low,Low,Excessive
Riddler,bad,Excessive,Low,Low,Low,Low,Low
Robin I,good,Excellent,Low,Low,Low,Medium,Excellent
Robin III,good,Excellent,Low,Low,Low,Medium,Excellent
Robin V,good,High,Very Low,Medium,Low,Low,High
Rocket Raccoon,good,Strong,Very Low,Low,Low,Low,High
Rogue,good,Excellent,Low,Low,Low,Excellent,Excellent
Ronin,good,Medium,Low,Low,Medium,Low,Excessive
Rorschach,good,Excellent,Low,Low,Low,Low,Excellent
Sabretooth,bad,Strong,Strong,Low,Excessive,Low,Excessive
Sage,good,Excellent,Low,Low,Low,Low,Strong
Sandman,neutral,Strong,Excellent,Strong,Excessive,High,Strong
Sasquatch,good,Excellent,Excellent,Low,Strong,Low,Strong
Savage Dragon,good,High,Excellent,Strong,Excellent,Strong,Excellent
Scarecrow,bad,Excellent,Low,Low,Low,Strong,Strong
Scarlet Spider,good,Excellent,Strong,High,Excellent,Medium,Strong
Scarlet Spider II,good,Excellent,Strong,High,Strong,Medium,Strong
Scarlet Witch,bad,Excellent,Low,Low,Strong,High,Low
Scorpia,bad,Medium,Low,Strong,Low,Medium,Low
Scorpion,bad,Strong,Strong,High,Excellent,Strong,Excellent
Sentry,good,Excellent,Excellent,Strong,Excellent,Excessive,Strong
Shadow King,good,Excellent,Low,Low,Excessive,Excessive,Excellent
Shadowcat,good,Excellent,Very Low,Low,Low,High,Excellent
Shang-Chi,good,High,Low,Medium,Strong,Low,Excessive
Shatterstar,good,High,Strong,Strong,High,Strong,Excellent
She-Hulk,good,High,Excessive,Strong,Excessive,Medium,Excellent
Shocker,bad,High,Low,Low,Excellent,High,Strong
Shriek,good,Strong,Low,Low,Low,Strong,Strong
Sif,good,Strong,Strong,Low,Strong,Low,Excellent
Silver Surfer,good,High,Excessive,Excellent,Excessive,Excessive,Medium
Silverclaw,good,Strong,Low,Medium,Strong,Medium,Strong
Sinestro,bad,Excellent,Excellent,Strong,High,Excessive,Strong
Siren,bad,Medium,Low,Low,Low,Strong,Low
Siryn,bad,Medium,Very Low,Strong,Low,Strong,Strong
Skaar,good,Strong,Excellent,Low,Excessive,High,Excellent
Snowbird,good,Strong,Medium,Low,Strong,High,Strong
Sobek,good,Strong,Medium,Low,Strong,Low,Strong
Solomon Grundy,bad,Very Low,Excessive,Low,Excessive,Excellent,Medium
Songbird,good,Excellent,Medium,Low,Strong,Strong,Strong
Space Ghost,good,Medium,Low,Medium,Strong,Excessive,Excellent
Spawn,good,Excellent,High,Strong,Excessive,Excessive,Excessive
Spider-Girl,good,High,Medium,High,High,Strong,Excellent
Spider-Man,good,Excellent,Strong,High,Excellent,Strong,Excellent
Spider-Woman,good,Strong,Strong,Strong,Medium,High,Strong
Spider-Woman III,good,Strong,Strong,Low,Strong,High,Low
Spyke,good,Strong,Low,Low,High,Strong,Medium
Stardust,good,Excellent,Excellent,Excessive,Excessive,Excessive,Excellent
Starfire,good,Strong,Excellent,Medium,Excellent,Strong,Excellent
Stargirl,good,Strong,Strong,Low,Excessive,Excellent,Strong
Steel,good,Excellent,Excellent,Strong,Excessive,High,High
Stephanie Powell,good,High,Low,Strong,Low,Low,Low
Storm,good,Excellent,Low,Strong,Medium,Excellent,Excellent
Sub-Mariner,good,High,Excellent,Strong,Strong,Medium,Excellent
Sunspot,good,High,High,Medium,Low,Excellent,Excellent
Super Moos,good,Very Low,Very Low,Very Low,Low,High,Strong
Superboy,good,Excellent,Excessive,Excellent,Excessive,Excellent,High
Superboy-Prime,bad,Excessive,Excessive,Excessive,Excessive,Excessive,Excellent
Supergirl,good,Excessive,Excessive,Excessive,Excessive,Excellent,Excellent
Superman,good,Excessive,Excessive,Excessive,Excessive,Excessive,Excellent
Swamp Thing,bad,Excellent,Excellent,Low,Excessive,High,Strong
Sylar,bad,Excellent,Low,Low,Low,Excessive,Strong
Synch,good,Excellent,High,Low,Low,Excellent,Strong
Tempest,good,Medium,Low,Strong,Low,High,High
Thanos,bad,Excellent,Excessive,Low,Excessive,Excessive,Excellent
The Cape,good,Medium,Low,Low,Medium,Low,High
The Comedian,neutral,High,Low,Low,Low,Low,Excellent
Thing,good,Excellent,Excellent,Low,Excessive,Low,Excellent
Thor,good,High,Excessive,Excessive,Excessive,Excessive,Excellent
Thor Girl,good,Excellent,Excellent,Excellent,Excellent,Excessive,Excellent
Thunderbird,good,Strong,Medium,Low,Medium,Low,Excellent
Thunderstrike,good,High,Excellent,Excellent,Excellent,Medium,Excellent
Thundra,good,Medium,Excellent,Medium,High,Low,Strong
Tiger Shark,bad,Medium,Excellent,Strong,Excellent,Low,Low
Tigra,good,High,Medium,Strong,Medium,Medium,Excessive
Tinkerer,bad,Excessive,Low,Low,Low,Low,Low
Toad,neutral,Strong,Medium,Strong,Strong,Strong,Low
Toxin,good,Strong,Excellent,Excellent,Excellent,Excellent,Excellent
Triplicate Girl,good,High,Low,Low,Strong,Strong,Strong
Two-Face,bad,Excellent,Low,Low,Low,Very Low,Low
Ultragirl,good,Strong,Excellent,Medium,Excellent,Medium,Excellent
Ultron,bad,Excellent,Excellent,Strong,Excessive,Excessive,High
Utgard-Loki,bad,Strong,Excellent,Low,Excellent,Excellent,High
Vanisher,bad,High,Low,Excellent,Strong,Medium,Strong
Venom,bad,Excellent,Strong,High,Excellent,Excellent,Excellent
Venom II,bad,Strong,Strong,Strong,Excellent,Strong,Strong
Venom III,bad,High,Excellent,Medium,Excessive,High,Strong
Vindicator II,good,High,High,Strong,High,Strong,Excellent
Violet,good,Low,Very Low,Low,Low,High,Low
Vision,good,Excessive,Excellent,Strong,Excessive,Excellent,Excellent
Vulture,bad,High,Low,Strong,Strong,Strong,Strong
Walrus,bad,Strong,Low,Very Low,Strong,Low,Low
War Machine,good,High,Excellent,High,Excessive,Excessive,Excellent
Warlock,good,Excellent,Medium,Excellent,Excessive,Excellent,Excessive
Warp,bad,Medium,Low,Low,Low,High,Strong
Warpath,good,Medium,Excellent,Strong,Excellent,Low,Excellent
Wasp,good,High,Very Low,Strong,Strong,Low,Strong
Watcher,good,Excessive,Excellent,High,Excellent,Excessive,Strong
Wildfire,good,Strong,Medium,Low,Excessive,Excellent,Strong
Willis Stryker,bad,Medium,Low,Low,Low,Strong,High
Winter Soldier,good,Strong,Medium,Medium,High,High,Excellent
Wolfsbane,good,Medium,Low,Medium,Strong,Low,Strong
Wolverine,good,Strong,Medium,Medium,Excessive,Strong,Excessive
Wonder Girl,good,Excellent,Excessive,Low,Excellent,Medium,High
Wonder Man,good,Excellent,Excessive,Strong,Excessive,High,High
Wonder Woman,good,Excellent,Excessive,Strong,Excessive,Strong,Excessive
Wyatt Wingfoot,good,Low,Low,Low,Very Low,Very Low,Strong
X-23,good,Excellent,Low,Medium,Excessive,Low,Excellent
X-Man,good,Excellent,Strong,Strong,Excessive,Excessive,Excellent
Yellowjacket,good,Excellent,Low,Low,Low,Low,Low
Yellowjacket II,good,Strong,Low,Medium,Low,Medium,Low
Ymir,good,Strong,Excessive,Low,Excessive,Excellent,Low
Zatanna,good,Excellent,Low,Low,Low,Excessive,Strong
Zoom,bad,Strong,Low,Excessive,Low,Excellent,Low
