Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat
Crystal,good,63,16,12,14,57,56
Cyborg,good,75,53,42,85,72,64
Cyborg Superman,bad,75,93,92,100,100,80
Cyclops,good,75,10,23,42,76,80
Dagger,good,63,10,35,42,52,70
Daphne Powell,good,38,10,8,10,56,10
Daredevil,good,75,13,27,28,57,95
Darkhawk,good,50,32,33,70,74,64
Darkman,good,75,14,23,85,12,28
Darkseid,bad,88,100,23,100,100,95
Darkstar,good,38,8,35,42,52,64
Dash,good,9,4,83,42,12,28
Dazzler,good,63,10,35,42,64,56
Deadman,good,50,10,33,100,100,42
Deadpool,neutral,50,15,30,100,100,100
Deadshot,bad,50,10,23,28,47,80
Deathlok,good,69,32,30,70,40,60
Deathstroke,neutral,75,30,35,100,36,90
Demogoblin,bad,50,48,42,35,54,60
Destroyer,bad,50,95,58,98,90,70
DL Hawkins,good,50,12,12,56,48,56
Doc Samson,good,75,80,33,80,36,70
Doctor Doom,bad,100,32,20,100,93,84
Doctor Fate,good,81,16,25,80,100,50
Doctor Strange,good,100,10,12,84,100,60
Domino,good,63,10,27,28,49,74
Doomsday,bad,88,80,67,120,100,90
Doppelganger,bad,8,63,60,95,62,84
Dormammu,bad,88,95,83,100,100,80
Dr Manhattan,good,88,32,42,95,100,42
Ego,bad,88,80,83,99,71,28
Elastigirl,good,38,32,12,90,20,14
Electro,bad,69,10,50,56,67,64
Elektra,good,63,11,30,28,59,100
Elle Bishop,bad,50,8,12,42,63,42
Elongated Man,good,38,10,27,90,41,42
Emma Frost,good,75,63,35,90,82,42
Evilhawk,bad,50,32,33,70,78,64
Exodus,bad,63,81,28,28,100,70
Falcon,good,38,13,50,28,22,64
Fallen One II,bad,88,85,83,100,100,56
Faora,bad,88,95,75,100,87,90
Feral,good,38,28,45,28,20,70
Fin Fang Foom,good,50,81,23,100,68,70
Firebird,good,38,8,40,14,90,42
Firelord,good,38,63,75,90,48,28
Firestar,good,50,8,54,55,71,32
Firestorm,good,50,53,58,56,100,42
Flash I,good,63,10,100,50,57,32
Flash II,good,63,10,100,60,66,32
Flash III,good,63,10,100,60,83,32
Flash IV,good,63,10,100,32,59,48
Forge,good,63,10,12,28,12,48
Franklin Storm,good,38,10,1,1,0,10
Frenzy,bad,63,53,35,100,38,52
Galactus,neutral,100,100,83,100,100,70
Gambit,good,63,10,23,28,55,84
Gary Bell,good,63,5,8,10,54,10
General Zod,bad,94,100,96,100,94,95
Ghost Rider,good,50,55,25,100,70,60
Giganta,bad,81,89,23,85,32,42
Goblin Queen,bad,75,10,23,28,65,56
Gog,bad,50,34,47,72,39,56
Goku,good,56,100,75,90,100,100
Gravity,good,50,32,33,40,72,30
Green Arrow,good,75,12,35,28,26,90
Green Goblin,bad,75,48,35,48,38,28
Green Goblin II,bad,75,55,37,50,38,26
Groot,good,75,85,33,70,92,64
Guy Gardner,good,38,80,27,64,97,64
Hal Jordan,good,63,90,53,64,100,56
Hancock,good,50,85,65,100,70,28
Harley Quinn,bad,81,12,23,42,30,80
Havok,good,63,10,25,60,71,45
Hawk,good,38,38,35,95,36,42
Hawkeye,good,50,12,23,14,26,80
Hawkeye II,good,50,6,8,10,24,50
Hawkgirl,good,50,28,53,99,74,72
Hellboy,good,63,53,23,85,30,75
Hellcat,good,50,10,23,42,18,70
Hercules,good,63,100,46,85,67,100
Hit-Girl,good,10,8,23,14,21,56
Hope Summers,good,63,10,12,32,89,75
Hulk,good,88,100,47,100,41,85
Human Torch,good,56,10,63,70,74,42
Huntress,good,69,10,23,28,34,95
Husk,good,63,63,35,78,53,64
Hydro-Man,bad,38,13,25,80,66,50
Hyperion,good,63,95,75,95,58,72
Iceman,good,63,32,53,100,100,64
Impulse,good,50,10,100,60,63,60
Ink,good,38,28,17,40,66,50
Invisible Woman,good,69,10,27,70,74,56
Iron Fist,good,75,23,35,42,43,100
Iron Man,good,100,85,58,85,100,64
Iron Monger,bad,88,63,25,90,57,56
Isis,good,75,48,75,46,43,56
Jack of Hearts,good,63,55,100,30,70,30
Jack-jack,good,6,34,67,80,69,6
Jean Grey,good,100,80,67,100,100,70
Jennifer Kale,good,75,10,35,42,61,72
Jim Powell,good,38,38,23,80,23,20
JJ Powell,good,88,10,8,10,14,10
John Stewart,good,50,80,27,64,94,54
John Wraith,good,75,12,35,28,65,80
Joker,bad,100,10,12,56,22,90
Jolt,good,63,12,27,32,31,42
Jubilee,good,56,8,22,20,66,90
Juggernaut,neutral,44,100,42,100,74,70
Junkpile,bad,50,38,17,90,71,30
Justice,good,50,10,33,70,55,30
Kang,bad,100,48,58,70,71,70
Kevin 11,bad,25,7,12,14,100,40
Kick-Ass,good,10,10,23,14,21,56
Kid Flash,good,25,4,92,42,13,30
Killer Croc,bad,25,48,33,85,36,60
Kilowog,good,81,90,53,42,100,80
Kingpin,bad,75,18,25,40,13,70
Klaw,bad,63,38,33,100,62,60
Kool-Aid Man,good,25,10,12,14,10,14
Kraven II,bad,50,34,23,28,36,85
Kraven the Hunter,bad,63,32,35,42,26,85
Krypto,good,9,80,100,90,72,40
Leader,bad,100,10,12,14,58,42
Leech,good,25,5,12,14,62,14
Lex Luthor,bad,100,10,12,14,10,28
Light Lass,good,38,10,35,28,65,42
Lightning Lad,good,38,10,23,28,60,42
Lightning Lord,bad,44,10,23,42,66,42
Living Brain,bad,75,53,35,56,31,28
Lizard,bad,38,51,27,70,40,56
Lobo,bad,88,83,35,100,95,85
Loki,bad,88,57,47,85,85,56
Longshot,good,50,10,27,10,71,70
Luke Cage,good,44,55,23,95,35,64
Luna,good,38,6,83,14,53,14
Mach-IV,bad,75,36,60,84,60,56
Machine Man,good,63,32,35,84,51,64
Magneto,bad,88,80,27,84,91,80
Magog,good,50,48,23,64,66,72
Magus,bad,88,100,70,99,100,74
Man-Bat,neutral,38,18,50,70,33,30
Man-Thing,good,50,32,8,100,98,40
Man-Wolf,good,63,44,35,42,38,70
Mandarin,bad,100,28,23,28,99,95
Martian Manhunter,good,100,100,96,100,100,85
Marvel Girl,good,63,85,47,42,100,80
Master Chief,good,75,73,35,80,62,100
Match,bad,75,95,83,85,90,70
Matt Parkman,good,63,10,12,14,59,56
Maverick,good,63,10,12,42,60,85
Maxima,bad,75,90,35,56,67,75
Maya Herrera,good,50,10,12,14,60,14
Medusa,good,75,34,35,70,35,56
Meltdown,good,38,10,12,42,58,64
Mephisto,bad,88,85,35,95,100,42
Mera,good,56,62,54,70,55,70
Metallo,bad,75,53,23,95,74,64
Metron,good,88,10,47,56,69,28
Micah Sanders,good,63,8,12,14,57,14
Micro Lad,good,38,28,27,28,44,32
Mimic,good,63,67,47,56,79,42
Misfit,good,63,32,23,80,62,42
Miss Martian,good,63,85,58,100,100,45
Mister Fantastic,good,100,10,18,70,32,64
Mister Freeze,bad,75,32,12,70,37,28
Mister Mxyzptlk,bad,113,10,12,14,100,28
Molten Man,bad,50,73,23,84,53,56
Monica Dawson,good,50,10,35,14,48,90
Moon Knight,good,50,36,23,42,28,75
Moonstone,good,56,67,47,52,79,80
Morlun,bad,63,60,35,42,59,56
Moses Magnum,bad,75,28,12,42,55,56
Mr Incredible,good,38,73,35,95,25,42
Ms Marvel,good,63,80,47,52,70,80
Ms Marvel II,good,38,63,23,84,11,56
Multiple Man,good,63,11,23,70,28,62
Mysterio I,bad,75,10,23,42,50,56
Mystique,bad,75,12,23,64,58,74
Namora,good,50,85,42,42,41,64
Namorita,good,50,72,47,70,30,70
Naruto Uzumaki,good,50,80,32,80,100,100
Nick Fury,good,75,11,23,42,25,100
Nightcrawler,good,50,10,47,14,52,80
Nightwing,good,88,11,33,28,36,100
Niki Sanders,good,63,52,35,28,37,56
Nina Theroux,good,63,5,8,10,54,20
Northstar,good,50,18,83,56,70,70
Nova,good,100,85,67,101,100,85
Nova,good,38,60,100,100,100,25
Offspring,good,50,10,35,99,100,56
Onslaught,bad,88,85,47,100,100,85
Oracle (DC),good,75,11,23,28,19,76
Osiris,good,75,85,60,95,65,42
Penguin,bad,75,10,12,28,30,45
Peter Petrelli,good,63,28,23,28,69,56
Phantom Girl,good,38,10,23,28,53,42
Phoenix,good,100,80,67,100,100,70
Plastic Man,good,50,63,23,100,100,56
Plastique,bad,50,10,23,28,60,42
Poison Ivy,bad,69,14,23,14,71,36
Power Girl,good,88,98,67,95,67,75
Professor X,good,100,8,12,14,90,32
Proto-Goblin,bad,63,38,23,48,22,28
Punisher,good,50,16,23,28,22,100
Pyro,bad,38,10,12,14,50,28
Question,good,81,14,27,35,20,80
Quicksilver,good,63,28,100,60,57,56
Quill,good,38,10,12,14,23,14
Ra's Al Ghul,bad,100,28,32,42,27,100
Rachel Pirzad,good,63,4,8,10,52,10
Raven,neutral,50,10,29,70,62,40
Red Arrow,good,63,16,25,20,24,80
Red Hood,neutral,75,12,23,28,24,95
Red Hulk,good,50,88,47,95,59,75
Red Mist,bad,25,10,23,14,20,56
Red Robin,good,81,11,27,32,29,80
Red Skull,bad,75,10,12,14,19,80
Red Tornado,good,75,38,67,60,92,40
Rhino,bad,25,80,43,90,37,85
Rick Flag,bad,88,11,23,28,19,95
Riddler,bad,100,10,12,14,10,14
Robin I,good,88,11,27,28,32,85
Robin III,good,81,11,27,28,30,85
Robin V,good,69,8,33,16,29,65
Rocket Raccoon,good,50,5,23,28,28,64
Rogue,good,75,10,12,28,80,80
Ronin,good,38,10,27,32,21,90
Rorschach,good,75,10,29,20,23,80
Sabretooth,bad,55,53,25,90,28,100
Sage,good,75,10,12,14,28,56
Sandman,neutral,50,75,47,97,62,56
Sasquatch,good,75,80,23,56,15,42
Savage Dragon,good,63,70,54,85,49,72
Scarecrow,bad,81,10,12,14,48,50
Scarlet Spider,good,75,53,60,74,39,56
Scarlet Spider II,good,88,55,60,40,30,56
Scarlet Witch,bad,88,10,23,42,67,28
Scorpia,bad,38,28,42,28,34,28
Scorpion,bad,50,52,60,85,49,80
Sentry,good,75,80,58,84,97,54
Shadow King,good,75,12,27,100,100,75
Shadowcat,good,88,8,21,25,69,70
Shang-Chi,good,63,12,30,50,25,100
Shatterstar,good,63,48,45,64,42,84
She-Hulk,good,69,100,42,100,33,70
Shocker,bad,63,10,23,70,63,56
Shriek,good,50,10,23,28,45,42
Sif,good,50,57,25,52,19,70
Silver Surfer,good,63,100,84,101,100,32
Silverclaw,good,50,28,35,42,34,42
Sinestro,bad,75,80,53,64,100,56
Siren,bad,38,10,12,14,55,28
Siryn,bad,38,8,47,28,50,42
Skaar,good,50,85,27,90,62,85
Snowbird,good,50,32,27,42,63,52
Sobek,good,50,34,23,46,20,56
Solomon Grundy,bad,9,93,13,100,78,30
Songbird,good,75,36,27,42,55,56
Space Ghost,good,38,18,33,40,90,80
Spawn,good,75,60,50,90,100,95
Spider-Girl,good,63,38,60,65,46,75
Spider-Man,good,88,55,60,74,58,85
Spider-Woman,good,50,42,42,32,62,52
Spider-Woman III,good,50,48,27,42,60,28
Spyke,good,50,12,17,60,41,30
Stardust,good,88,85,100,110,100,85
Starfire,good,50,80,33,85,59,70
Stargirl,good,50,40,27,90,71,56
Steel,good,81,82,53,90,64,64
Stephanie Powell,good,69,10,54,10,17,10
Storm,good,75,10,47,30,88,75
Sub-Mariner,good,63,80,47,56,37,84
Sunspot,good,63,63,35,25,79,70
Super Moos,good,8,1,1,10,65,40
Superboy,good,75,95,83,90,84,60
Superboy-Prime,bad,94,100,100,100,100,85
Supergirl,good,94,98,92,100,85,75
Superman,good,100,100,100,100,94,85
Swamp Thing,bad,88,80,23,100,66,56
Sylar,bad,75,10,12,28,91,56
Synch,good,75,67,23,28,74,56
Tempest,good,38,10,45,28,62,60
Thanos,bad,88,100,17,100,100,80
The Cape,good,38,10,23,32,22,64
The Comedian,neutral,63,14,17,10,12,80
Thing,good,75,84,21,90,26,80
Thor,good,69,100,92,100,100,85
Thor Girl,good,75,83,70,84,100,70
Thunderbird,good,50,32,27,32,14,70
Thunderstrike,good,63,80,70,84,31,72
Thundra,good,38,81,32,64,26,54
Tiger Shark,bad,38,72,42,70,21,28
Tigra,good,63,32,53,38,33,90
Tinkerer,bad,100,10,23,14,10,14
Toad,neutral,50,34,58,56,49,28
Toxin,good,56,73,70,84,75,70
Triplicate Girl,good,63,10,23,42,44,42
Two-Face,bad,88,10,12,14,9,28
Ultragirl,good,50,80,35,70,35,80
Ultron,bad,88,83,42,100,100,64
Utgard-Loki,bad,50,80,23,84,72,64
Vanisher,bad,63,10,75,56,39,42
Venom,bad,75,57,65,84,79,84
Venom II,bad,50,57,47,70,54,56
Venom III,bad,63,73,35,90,66,56
Vindicator II,good,63,63,53,64,56,70
Violet,good,10,4,12,28,65,14
Vision,good,100,72,54,95,76,70
Vulture,bad,63,22,47,56,40,56
Walrus,bad,50,28,8,50,11,20
War Machine,good,63,80,63,100,100,85
Warlock,good,88,36,79,95,71,95
Warp,bad,38,10,23,28,63,50
Warpath,good,38,72,47,70,26,84
Wasp,good,63,8,58,52,23,42
Watcher,good,100,80,67,89,100,56
Wildfire,good,50,32,23,100,77,42
Willis Stryker,bad,38,16,23,28,41,60
Winter Soldier,good,56,32,35,65,60,84
Wolfsbane,good,38,16,35,42,26,42
Wolverine,good,55,32,38,100,44,100
Wonder Girl,good,75,90,25,80,39,60
Wonder Man,good,75,100,53,90,64,64
Wonder Woman,good,88,100,50,100,42,100
Wyatt Wingfoot,good,10,10,12,1,1,56
X-23,good,75,24,35,90,27,85
X-Man,good,88,53,53,95,92,84
Yellowjacket,good,88,10,12,28,12,14
Yellowjacket II,good,50,10,35,28,31,28
Ymir,good,50,100,27,100,83,28
Zatanna,good,75,10,23,28,100,56
Zoom,bad,50,10,100,28,72,28
